state,action_date,naics_description,transaction_description,total_dollars_obligated,current_total_value_of_award,potential_total_value_of_award,object,program
,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CTR,0.0,,566304901.26,,
GEORGIA,2021,PERISHABLE PREPARED FOOD MANUFACTURING,PREPARE AND DELIVER PRE-PACKED DETAINEE MEALS.,36064.15,36064.15,117118.15,26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
MARYLAND,2021,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",THE ICE STUDENT AND EXCHANGE VISITOR PROGRAM (SEVP) REQUIRES CONTRACTOR SUPPORT TO PROVIDE BREAK-FIX AND OPERATIONS & MAINTENANCE (O&M) SUPPORT FOR THE SEVP EXTERNAL TRAINING APPLICATION (SETA),361766.4,361766.4,361766.4,25.1: Advisory and assistance services,0004: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2021,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER AWARD: TBD  POP 06 AUG 2021  - 05 AUG 2022. FUNDING THROUGH 30 SEPTEMBER 2021.  COR RANDY LECOMPTE ACOR: MICHAEL SHERDIAN,52818941.99,52818941.99,52818941.99,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
DISTRICT OF COLUMBIA,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",43459920.41,43459920.41,43459920.41,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2021,CORRECTIONAL INSTITUTIONS,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),52170273.18,52170273.18,52170273.18,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",60863768.06,60863768.06,60863768.06,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
DISTRICT OF COLUMBIA,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",31996592.41,31996592.41,31996592.41,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,CORRECTIONAL INSTITUTIONS,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),0.0,,564052290.6,,
GEORGIA,2021,CORRECTIONAL INSTITUTIONS,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,100000.0,100000.0,100000.0,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
GEORGIA,2021,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES AT ROBERT A. DEYTON DETENTION FACILITY,988653.72,988653.72,988653.72,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2021,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF THIS MOD IS TO CLOSEOUT CONTRACT HSCEOP-06-J-00469,1941360.83,1941360.83,1941360.83,,
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTAION SERVICES",64722320.27,64722320.27,64722320.27,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2021,SECURITY GUARDS AND PATROL SERVICES,DETENTION SERVICES AT ADELANTO,0.0,,2283719987.22,,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,51612132.1,51612132.1,51612132.1,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
FLORIDA,2021,OTHER INDIVIDUAL AND FAMILY SERVICES,TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [CHI],1719893.33,1719893.33,1719893.33,25.1: Advisory and assistance services,
FLORIDA,2021,OTHER INDIVIDUAL AND FAMILY SERVICES,TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [LA],1704890.26,1704890.26,1704890.26,25.1: Advisory and assistance services,
TEXAS,2021,FACILITIES SUPPORT SERVICES,REFERENCE SOUTH TEXAS DETENTION COMPLEX CONTRACT HSCEDM-12-D-00001 WITH THE GEO GROUP. OPTION YEAR 3,50880520.83,50880520.83,50880520.83,,
COLORADO,2021,FACILITIES SUPPORT SERVICES,"DETENTION SERVICES FOR AURORA, CO CDF",47687272.92,47687272.92,47687272.92,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,FACILITIES SUPPORT SERVICES,DETENTION SERVICES,51662696.58,51662696.58,51662696.58,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
TEXAS,2019,FACILITIES SUPPORT SERVICES,DETENTION SERVICES,51662696.58,51662696.58,51662696.58,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,SERVICES AT BROWARD TRANSITIONAL CENTER,39124110.81,39124110.81,39124110.81,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2021,,THE PURPOSE FOR THIS MODIFICATION IS TO CLOSEOUT THIS CONTRACT.,1901810.0,1901810.0,1901810.0,,
FLORIDA,2021,OTHER INDIVIDUAL AND FAMILY SERVICES,TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [DC],1869653.14,1869653.14,1869653.14,25.1: Advisory and assistance services,
FLORIDA,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [DC],1869653.14,1869653.14,1869653.14,25.1: Advisory and assistance services,
MARYLAND,2021,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",THE ICE STUDENT AND EXCHANGE VISITOR PROGRAM (SEVP) REQUIRES CONTRACTOR SUPPORT TO PROVIDE BREAK-FIX AND OPERATIONS & MAINTENANCE (O&M) SUPPORT FOR THE SEVP EXTERNAL TRAINING APPLICATION (SETA),361766.4,361766.4,361766.4,25.1: Advisory and assistance services,0004: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2021,OTHER INDIVIDUAL AND FAMILY SERVICES,TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [MIA],1638800.59,1638800.59,1638800.59,21.0: Travel and transportation of persons;25.1: Advisory and assistance services,
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO MOVE FUNDS TO THE SUBJECT TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,33372613.73,33372613.73,33372613.73,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2021,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,211163715.84,,
FLORIDA,2021,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),DETENTION SERVICES AT BROWARD TRANSITIONAL SERVICES,12032163.7,12032163.7,12032163.7,,
TEXAS,2021,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,1763089.04,1763089.04,1763089.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,31778989.58,31778989.58,31778989.58,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
,2021,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS UPDATE MONTHLY FIXED RATE FOR DETENTION GUARANTEED BEDS AT DESERT VIEW ANNEX.,0.0,,2283719987.22,,
COLORADO,2021,FACILITIES SUPPORT SERVICES,"CONTRACT DETENTION FACILITY, AURORA, COLORADO",30675602.15,30675602.15,30675602.15,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,31040733.6,31040733.6,31040733.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,DETENTION MANAGEMENT SERVICES,29419117.96,29419117.96,29419117.96,,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,32304821.09,32304821.09,32304821.09,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,32304821.09,32304821.09,32304821.09,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,5654320.62,5654320.62,5654320.62,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
FLORIDA,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,5854685.1,5854685.1,5854685.1,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,6490815.92,6490815.92,6490815.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
DISTRICT OF COLUMBIA,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",31964292.41,31964292.41,31964292.41,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,1429089.04,1429089.04,1429089.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
GEORGIA,2021,CORRECTIONAL INSTITUTIONS,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,929533.0,929533.0,929533.0,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER (HOUSTON),36913765.05,36913765.05,36913765.05,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES,49043235.46,49043235.46,49043235.46,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDS TO THE SUBJECT TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,33372613.73,33372613.73,33372613.73,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2021,FACILITIES SUPPORT SERVICES,SERVICES AT BROWARD TRANSITIONAL CENTER,34130710.87,34130710.87,34130710.87,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS TO DE-OBLIGATE EXCESS/UNUSED FUNDS,30181264.14,30181264.14,30181264.14,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS UPDATE MONTHLY FIXED RATE FOR DETENTION GUARANTEED BEDS AT DESERT VIEW ANNEX.,0.0,,2283719987.22,,
TEXAS,2021,CORRECTIONAL INSTITUTIONS,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),52170273.18,52170273.18,52170273.18,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,ADMINISTRATION OF HOUSING PROGRAMS,DETAINEE HOUSING COST FOR EMERGENCY SITUATION-INCLEMENT WEATHER,1227.3,1227.3,1227.3,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO APPROVE REA SUBMITTED BY GEO DUE TO SCA WAGE DETERMINATION,0.0,,1583837253.55,,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,SERVICES AT BROWARD TRANSITIONAL CENTER,27530273.85,27530273.85,27530273.85,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
MARYLAND,2021,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",THE ICE STUDENT AND EXCHANGE VISITOR PROGRAM (SEVP) REQUIRES CONTRACTOR SUPPORT TO PROVIDE BREAK-FIX AND OPERATIONS & MAINTENANCE (O&M) SUPPORT FOR THE SEVP EXTERNAL TRAINING APPLICATION (SETA),361766.4,361766.4,361766.4,25.1: Advisory and assistance services,0004: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2021,CORRECTIONAL INSTITUTIONS,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),52170273.18,52170273.18,52170273.18,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,4862448.88,4862448.88,4862448.88,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDS TO THE SUBJECT TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,18372513.94,18372513.94,18372513.94,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES,33140597.6,33140597.6,33140597.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,3824231.66,3824231.66,3824231.66,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
DISTRICT OF COLUMBIA,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",25194692.41,25194692.41,25194692.41,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
COLORADO,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",46111241.53,46111241.53,46111241.53,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION TRANSPORTATION AND MEDICAL SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER (HOUSTON),36913765.05,36913765.05,36913765.05,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
DISTRICT OF COLUMBIA,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",17171392.41,17171392.41,17171392.41,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,360393240.61,,
,2021,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS UPDATE GUARANTEED TRANSPORTATION MONTHLY FEE.,0.0,,2283719987.22,,
DISTRICT OF COLUMBIA,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",17163192.41,17163192.41,17163192.41,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
GEORGIA,2021,CORRECTIONAL INSTITUTIONS,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,929533.0,929533.0,929533.0,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,FACILITIES SUPPORT SERVICES,P00027 IS TO UPDATE WAGE DETERMINATION,0.0,,748439695.88,,
,2021,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES RATE CHANGED IAW SCA, DOL WDS",0.0,,748439695.88,,
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION P00006 IS TO ADD FUNDING.,90522259.64,90522259.64,90522259.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION TRANSPORTATION AND MEDICAL SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDS TO THE SUBJECT TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,12200612.77,12200612.77,12200612.77,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER (HOUSTON),36913765.05,36913765.05,36913765.05,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2021,FACILITIES SUPPORT SERVICES,SERVICES AT BROWARD TRANSITIONAL CENTER,24077035.05,24077035.05,24077035.05,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,"DETENTION, TRANSPORTATION AND FOOD SERVICES",61117009.31,61117009.31,61117009.31,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTAION SERVICES",64722320.27,64722320.27,64722320.27,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2021,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION IS UPDATE AND REPLACE SCA WAGE DETERMINATION,0.0,,2283719987.22,,
,2021,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO REPLACE SCA WAGE DETERMINATION,0.0,,1582231743.77,,
FLORIDA,2021,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,"THE PURPOSE OF THIS TASK ORDER 70CDCR19FR0000018 IS TO PROVIDE LAUNDRY SUPPLIES TO THE DHS/ICE SUPPLY WAREHOUSE LOCATED IN EL PASO, TX. THIS TASK ORDER IS PLACED IN ACCORDANCE WITH GS-07F-0359T.",15854.7,15854.7,15854.7,26.0: Supplies and materials,
FLORIDA,2021,FACILITIES SUPPORT SERVICES,SUPPLEMENTAL TRANSPORTATION FOR WSEU,55594.5,55594.5,55594.5,,
